Hi,

So I ran the R_pPb ratios without doing the discrete binning like you asked,
they are at the end of this message.  Please note that the ratios are not all
that smooth, especially at higher p_T.  I combined bins for the p_T 
distributions, maybe this would have been a good idea for rapidity as well, but
you can either plot them as histograms or try smoothing the results more.
I did a preliminary plot of the full ratios and they behave as expected albeit
a bit noisy, for example, the p_T ratio goes down as one goes to higher rapidity
and, as a function of rapidity, the antishadowing peak goes down and moves 
toward more positive rapidity as the p_T range goes to higher p_T.

Also, I'm including the earlier results again.  I found out that there was
something wrong with the call to EPS09 so that some of the sets were repeated
and others were not run.  This made the uncertainty on the ratios, on R_pPb
especially, too small.  It has less of an effect on R_FB.  Therefore, I ran
those calculations again to give the right result on the uncertainties.

Email me if you have questions.

best regards,
Ramona

---------------------------------

low pt 5 < pt < 6.5 GeV (largest y bins only)
R_pPb
   29.5000    1.0699E+00     1.1502E+00     1.0591E+00
   30.5000    1.1227E+00     1.1520E+00     1.0538E+00
   31.5000    1.0899E+00     1.1499E+00     9.6062E-01
   32.5000    1.0751E+00     1.1796E+00     1.0606E+00
   33.5000    1.0865E+00     1.1589E+00     1.0371E+00
   34.5000    1.0913E+00     1.1361E+00     9.8206E-01
   35.5000    1.0699E+00     1.1499E+00     1.0241E+00
   36.5000    1.0552E+00     1.1521E+00     9.1877E-01
   37.5000    1.0047E+00     1.1232E+00     9.9662E-01
   38.5000    1.0744E+00     1.0995E+00     9.9301E-01
   39.5000    1.0864E+00     1.1185E+00     1.0525E+00
   40.5000    1.0740E+00     1.1518E+00     1.0474E+00
   41.5000    1.0957E+00     1.1116E+00     1.0046E+00
   42.5000    1.0654E+00     1.1205E+00     9.8073E-01
   43.5000    1.0594E+00     1.2474E+00     1.0428E+00
   44.5000    1.0713E+00     1.1232E+00     9.9826E-01
   45.5000    1.0713E+00     1.1316E+00     9.9774E-01
   46.5000    1.0569E+00     1.0968E+00     9.7958E-01
   47.5000    1.0144E+00     1.1136E+00     8.6839E-01
   48.5000    1.0151E+00     1.1255E+00     9.8731E-01
   49.5000    1.0373E+00     1.1244E+00     9.9328E-01

R_pPb(pT) for -1.93 < y < -1.5
    1.5000    7.4307E-01     9.1422E-01     5.2816E-01
    2.5000    8.7615E-01     9.7942E-01     7.8205E-01
    3.5000    8.9712E-01     9.9276E-01     8.1855E-01
    4.5000    9.3759E-01     1.0017E+00     8.6457E-01
    5.5000    9.6547E-01     1.0163E+00     9.0530E-01
    6.5000    9.7217E-01     1.0200E+00     9.2757E-01
    7.5000    1.0104E+00     1.0413E+00     9.6053E-01
    8.5000    9.9704E-01     1.0475E+00     9.8396E-01
    9.5000    1.0160E+00     1.0469E+00     9.7082E-01
   10.5000    1.0316E+00     1.0634E+00     9.9361E-01
   11.5000    1.0176E+00     1.0559E+00     9.9910E-01
   12.5000    1.0438E+00     1.0630E+00     1.0009E+00
   13.5000    1.0500E+00     1.0901E+00     1.0253E+00
   14.5000    1.0557E+00     1.0976E+00     1.0356E+00
   15.5000    1.0506E+00     1.0857E+00     1.0046E+00
   16.5000    1.0845E+00     1.1122E+00     1.0428E+00
   17.5000    1.0728E+00     1.1161E+00     1.0466E+00
   18.5000    1.0725E+00     1.0934E+00     9.9943E-01
   19.5000    1.0998E+00     1.1333E+00     1.0413E+00
   20.5000    1.0717E+00     1.1081E+00     1.0180E+00
   21.5000    1.0727E+00     1.1304E+00     1.0278E+00
   22.5000    1.0608E+00     1.1484E+00     1.0373E+00
   23.5000    1.0959E+00     1.1309E+00     1.0185E+00
   24.5000    1.0863E+00     1.1307E+00     1.0266E+00
   25.5000    1.0694E+00     1.1661E+00     1.0229E+00
   26.5000    1.1066E+00     1.1336E+00     1.0633E+00
   27.5000    1.0908E+00     1.1308E+00     1.0225E+00
   28.5000    1.0792E+00     1.1792E+00     1.0261E+00
   29.5000    1.0711E+00     1.1342E+00     1.0250E+00
   30.5000    1.0904E+00     1.1407E+00     1.0600E+00
   31.5000    1.1049E+00     1.1521E+00     1.0248E+00
   32.5000    1.0977E+00     1.1718E+00     1.0302E+00
   33.5000    1.0373E+00     1.1148E+00     9.9453E-01
   34.5000    1.0781E+00     1.1525E+00     1.0321E+00
   35.5000    1.0859E+00     1.1523E+00     1.0423E+00
   36.5000    1.0946E+00     1.2236E+00     1.0598E+00
   37.5000    1.0895E+00     1.0932E+00     9.8275E-01
   38.5000    1.0874E+00     1.1512E+00     1.0090E+00
   39.5000    1.0951E+00     1.1837E+00     1.0694E+00
   40.5000    1.1160E+00     1.1761E+00     1.0586E+00
   41.5000    1.1276E+00     1.1438E+00     9.9399E-01
   42.5000    1.0753E+00     1.2432E+00     9.9319E-01
   43.5000    1.0487E+00     1.1410E+00     1.0029E+00
   44.5000    1.0419E+00     1.1286E+00     1.0224E+00
   45.5000    1.0822E+00     1.0931E+00     9.8945E-01
   46.5000    1.0423E+00     1.1322E+00     9.9540E-01
   47.5000    1.0618E+00     1.0994E+00     1.0086E+00
   48.5000    1.0435E+00     1.1751E+00     1.0435E+00
   49.5000    1.0832E+00     1.0832E+00     9.6979E-01

R_pPb(pT) for -1.5 < y < -0.9
    1.5000    7.6006E-01     9.3246E-01     5.9667E-01
    2.5000    8.7493E-01     9.8499E-01     7.6878E-01
    3.5000    9.0493E-01     9.7914E-01     8.0304E-01
    4.5000    9.2868E-01     9.9827E-01     8.5905E-01
    5.5000    9.4474E-01     1.0054E+00     8.8524E-01
    6.5000    9.5627E-01     1.0199E+00     9.1444E-01
    7.5000    9.7662E-01     1.0088E+00     9.1368E-01
    8.5000    9.8746E-01     1.0244E+00     9.3729E-01
    9.5000    9.9077E-01     1.0413E+00     9.6446E-01
   10.5000    1.0161E+00     1.0378E+00     9.6572E-01
   11.5000    9.9747E-01     1.0430E+00     9.8217E-01
   12.5000    1.0015E+00     1.0376E+00     9.6501E-01
   13.5000    1.0290E+00     1.0548E+00     1.0017E+00
   14.5000    1.0226E+00     1.0518E+00     9.8831E-01
   15.5000    1.0309E+00     1.0651E+00     1.0065E+00
   16.5000    1.0270E+00     1.0688E+00     1.0130E+00
   17.5000    1.0454E+00     1.0702E+00     1.0175E+00
   18.5000    1.0298E+00     1.0514E+00     9.8366E-01
   19.5000    1.0397E+00     1.0779E+00     1.0256E+00
   20.5000    1.0492E+00     1.0695E+00     1.0123E+00
   21.5000    1.0477E+00     1.1214E+00     1.0463E+00
   22.5000    1.0451E+00     1.0600E+00     9.8575E-01
   23.5000    1.0519E+00     1.0865E+00     1.0220E+00
   24.5000    1.0554E+00     1.0874E+00     9.9930E-01
   25.5000    1.0724E+00     1.1206E+00     1.0567E+00
   26.5000    1.0742E+00     1.0789E+00     9.9134E-01
   27.5000    1.0577E+00     1.1457E+00     1.0506E+00
   28.5000    1.0812E+00     1.0999E+00     1.0064E+00
   29.5000    1.0837E+00     1.1723E+00     1.0493E+00
   30.5000    1.0699E+00     1.1549E+00     1.0362E+00
   31.5000    1.1016E+00     1.1204E+00     1.0179E+00
   32.5000    1.0291E+00     1.1839E+00     1.0157E+00
   33.5000    1.0644E+00     1.1145E+00     1.0402E+00
   34.5000    1.0882E+00     1.0964E+00     1.0286E+00
   35.5000    1.0876E+00     1.1186E+00     1.0282E+00
   36.5000    1.0838E+00     1.1529E+00     9.7537E-01
   37.5000    1.0662E+00     1.2021E+00     1.0503E+00
   38.5000    1.0816E+00     1.1316E+00     1.0181E+00
   39.5000    1.0922E+00     1.1896E+00     1.0811E+00
   40.5000    1.1064E+00     1.1149E+00     9.9647E-01
   41.5000    1.0680E+00     1.1669E+00     1.0098E+00
   42.5000    1.0492E+00     1.1380E+00     9.7861E-01
   43.5000    1.0533E+00     1.1310E+00     1.0245E+00
   44.5000    1.0644E+00     1.1020E+00     9.9428E-01
   45.5000    1.0376E+00     1.1252E+00     1.0273E+00
   46.5000    1.0825E+00     1.0870E+00     1.0195E+00
   47.5000    1.1372E+00     1.1705E+00     1.0687E+00
   48.5000    1.0797E+00     1.1339E+00     9.7793E-01
   49.5000    1.0987E+00     1.2139E+00     1.0927E+00

R_pPb(pT) for -0.9 < y < 0
    1.5000    7.5593E-01     9.1109E-01     5.9176E-01
    2.5000    8.6517E-01     9.6975E-01     7.4870E-01
    3.5000    8.9048E-01     9.7892E-01     8.0139E-01
    4.5000    9.1081E-01     9.9335E-01     8.3490E-01
    5.5000    9.3713E-01     9.9319E-01     8.6875E-01
    6.5000    9.3634E-01     1.0028E+00     8.7937E-01
    7.5000    9.5999E-01     1.0050E+00     9.0540E-01
    8.5000    9.6243E-01     1.0197E+00     9.1718E-01
    9.5000    9.7332E-01     1.0135E+00     9.2875E-01
   10.5000    9.8694E-01     1.0248E+00     9.4058E-01
   11.5000    9.8364E-01     1.0186E+00     9.5370E-01
   12.5000    9.8655E-01     1.0236E+00     9.5735E-01
   13.5000    9.9994E-01     1.0343E+00     9.7163E-01
   14.5000    9.8729E-01     1.0267E+00     9.7337E-01
   15.5000    1.0074E+00     1.0365E+00     9.5416E-01
   16.5000    1.0128E+00     1.0458E+00     9.8637E-01
   17.5000    1.0092E+00     1.0316E+00     9.8298E-01
   18.5000    1.0241E+00     1.0502E+00     9.9304E-01
   19.5000    1.0097E+00     1.0335E+00     9.8655E-01
   20.5000    1.0119E+00     1.0451E+00     9.9286E-01
   21.5000    1.0371E+00     1.0492E+00     9.9294E-01
   22.5000    1.0317E+00     1.0645E+00     1.0178E+00
   23.5000    1.0414E+00     1.0567E+00     1.0020E+00
   24.5000    1.0305E+00     1.0630E+00     1.0114E+00
   25.5000    1.0373E+00     1.0522E+00     9.9384E-01
   26.5000    1.0185E+00     1.0772E+00     1.0075E+00
   27.5000    1.0415E+00     1.0613E+00     9.9577E-01
   28.5000    1.0483E+00     1.1002E+00     1.0040E+00
   29.5000    1.0314E+00     1.1051E+00     1.0272E+00
   30.5000    1.0526E+00     1.0877E+00     9.7586E-01
   31.5000    1.0555E+00     1.1015E+00     9.9784E-01
   32.5000    1.0463E+00     1.0704E+00     9.9762E-01
   33.5000    1.0546E+00     1.0935E+00     1.0163E+00
   34.5000    1.0307E+00     1.0873E+00     1.0154E+00
   35.5000    1.0423E+00     1.0890E+00     1.0132E+00
   36.5000    1.0659E+00     1.0752E+00     1.0095E+00
   37.5000    1.0526E+00     1.1527E+00     1.0434E+00
   38.5000    1.0588E+00     1.0803E+00     1.0075E+00
   39.5000    1.0627E+00     1.1236E+00     1.0401E+00
   40.5000    1.0637E+00     1.0966E+00     1.0110E+00
   41.5000    1.0841E+00     1.1057E+00     9.8958E-01
   42.5000    1.0613E+00     1.1295E+00     1.0402E+00
   43.5000    1.0491E+00     1.1101E+00     1.0361E+00
   44.5000    1.0641E+00     1.0890E+00     9.8321E-01
   45.5000    1.0422E+00     1.1223E+00     1.0044E+00
   46.5000    1.0398E+00     1.1197E+00     1.0212E+00
   47.5000    1.0508E+00     1.0708E+00     9.9636E-01
   48.5000    1.0542E+00     1.0760E+00     9.9098E-01
   49.5000    1.0526E+00     1.1129E+00     1.0449E+00

R_pPb(pT) for 0 < y < 0.9
    1.5000    7.4621E-01     9.1238E-01     5.7981E-01
    2.5000    8.5229E-01     9.5180E-01     7.4562E-01
    3.5000    8.8728E-01     9.7666E-01     7.9360E-01
    4.5000    9.0149E-01     9.8197E-01     8.1988E-01
    5.5000    9.1609E-01     9.8455E-01     8.4018E-01
    6.5000    9.3362E-01     9.9523E-01     8.5687E-01
    7.5000    9.3267E-01     9.9650E-01     8.7985E-01
    8.5000    9.4774E-01     1.0080E+00     8.8764E-01
    9.5000    9.6947E-01     1.0084E+00     9.1761E-01
   10.5000    9.6238E-01     1.0146E+00     9.1426E-01
   11.5000    9.6529E-01     1.0024E+00     9.2247E-01
   12.5000    9.5716E-01     1.0081E+00     9.2419E-01
   13.5000    9.7745E-01     1.0333E+00     9.3814E-01
   14.5000    9.8811E-01     1.0121E+00     9.3610E-01
   15.5000    9.7302E-01     1.0251E+00     9.4641E-01
   16.5000    9.8630E-01     1.0154E+00     9.3623E-01
   17.5000    9.8100E-01     1.0104E+00     9.4273E-01
   18.5000    9.9132E-01     1.0250E+00     9.6762E-01
   19.5000    1.0042E+00     1.0330E+00     9.6858E-01
   20.5000    1.0018E+00     1.0565E+00     9.6894E-01
   21.5000    9.9916E-01     1.0252E+00     9.7130E-01
   22.5000    1.0053E+00     1.0363E+00     9.8683E-01
   23.5000    1.0191E+00     1.0258E+00     9.6792E-01
   24.5000    9.8833E-01     1.0510E+00     9.7400E-01
   25.5000    1.0201E+00     1.0346E+00     9.8151E-01
   26.5000    1.0041E+00     1.0710E+00     9.9970E-01
   27.5000    1.0295E+00     1.0297E+00     9.6806E-01
   28.5000    1.0108E+00     1.0525E+00     9.8724E-01
   29.5000    1.0106E+00     1.0293E+00     9.8539E-01
   30.5000    1.0043E+00     1.0191E+00     9.5874E-01
   31.5000    1.0109E+00     1.0542E+00     9.7896E-01
   32.5000    1.0246E+00     1.0673E+00     9.9686E-01
   33.5000    1.0297E+00     1.0491E+00     9.8696E-01
   34.5000    1.0354E+00     1.0963E+00     1.0246E+00
   35.5000    1.0451E+00     1.0470E+00     9.7725E-01
   36.5000    1.0323E+00     1.1013E+00     1.0275E+00
   37.5000    1.0273E+00     1.0707E+00     9.8093E-01
   38.5000    1.0308E+00     1.0697E+00     9.7533E-01
   39.5000    1.0231E+00     1.0869E+00     1.0152E+00
   40.5000    1.0422E+00     1.0539E+00     9.8544E-01
   41.5000    1.0267E+00     1.0754E+00     9.8459E-01
   42.5000    1.0247E+00     1.0703E+00     9.9812E-01
   43.5000    1.0072E+00     1.0597E+00     9.8903E-01
   44.5000    1.0358E+00     1.0597E+00     9.8292E-01
   45.5000    1.0271E+00     1.0997E+00     9.8816E-01
   46.5000    1.0306E+00     1.0791E+00     1.0082E+00
